model,dataset,mae,mse,rmse,trend_match
RLinear_OLS,ADAUSDT,0.1049048710765648,0.014917412834839753,0.12213686108149231,
RLinear_NN,ADAUSDT,0.001687456970103085,6.526644938276149e-06,0.002554729813709855,46.295147510847286
RLinear_OLS,ATOMUSDT,1.058072643902843,1.8961852714669838,1.3770204324798465,
RLinear_NN,ATOMUSDT,0.00789393950253725,0.00013806966308038682,0.011750305071473122,42.32179959214557
RLinear_OLS,BCHUSDT,11.043778357904522,146.7285626577465,12.113156593462602,
RLinear_NN,BCHUSDT,0.8493443727493286,1.854701042175293,1.3618741035461426,49.01679822039866
RLinear_OLS,BNBUSDT,21.787602360520143,636.0744643858674,25.22051673510809,
RLinear_NN,BNBUSDT,2.7014904022216797,39.52737045288086,6.287079811096191,49.632074762827585
RLinear_OLS,BTCUSDT,3288.869277538893,12625508.330284318,3553.239132155943,
RLinear_NN,BTCUSDT,130.2101593017578,71795.703125,267.94720458984375,48.58447951378999
RLinear_OLS,DOGEUSDT,0.008895393757034027,0.000127254486296198,0.011280713022508729,
RLinear_NN,DOGEUSDT,0.0006790344486944377,4.5024125938653015e-06,0.0021218890324234962,49.0550673379198
RLinear_OLS,DOTUSDT,1.2125484226526777,1.9284924382207447,1.3887017095909202,
RLinear_NN,DOTUSDT,0.008898033760488033,0.00017442858370486647,0.013207141309976578,43.433001958889534
RLinear_OLS,ETCUSDT,1.5574935137159474,2.999796438116049,1.7319920433177658,
RLinear_NN,ETCUSDT,0.033712372183799744,0.002783864503726363,0.052762340754270554,48.16526666934608
RLinear_OLS,ETHUSDT,164.76546360643627,34362.38393074144,185.37093604646182,
RLinear_NN,ETHUSDT,7.85993766784668,205.00401306152344,14.317960739135742,49.906773633801244
RLinear_OLS,FILUSDT,0.4845375699776132,0.4203780133001492,0.6483656478408995,
RLinear_NN,FILUSDT,0.005697506945580244,0.000339462305419147,0.01842450350522995,39.3794461637394
RLinear_OLS,LINKUSDT,1.4015435968556955,2.9410996634718156,1.7149634583488407,
RLinear_NN,LINKUSDT,0.046381667256355286,0.005006811581552029,0.07075882703065872,48.52174612022794
RLinear_OLS,LTCUSDT,2.2884539674128637,6.2740561304520925,2.5048066053993256,
RLinear_NN,LTCUSDT,0.19531986117362976,0.09532328695058823,0.3087446987628937,46.624192023597544
RLinear_OLS,SOLUSDT,19.11158179102372,488.88928099512094,22.110840802536682,
RLinear_NN,SOLUSDT,0.5478889346122742,1.3669865131378174,1.1691819429397583,48.66626009369818
RLinear_OLS,TRXUSDT,0.003697396306905963,1.8829818912507113e-05,0.004339333924982855,
RLinear_NN,TRXUSDT,0.0002610107767395675,1.5816034704130288e-07,0.00039769377326592803,43.73740745077001
RLinear_OLS,UNIUSDT,0.7111583720763078,0.8825460943764128,0.9394392446435336,
RLinear_NN,UNIUSDT,0.017882613465189934,0.0008403059910051525,0.028988031670451164,46.47321249145935
RLinear_OLS,VETUSDT,0.0047379571968319675,3.5486362425255164e-05,0.005957043094124396,
RLinear_NN,VETUSDT,4.655252996599302e-05,4.682747523077069e-09,6.843060691608116e-05,48.72130471479023
RLinear_OLS,XLMUSDT,0.004917808294958947,3.2033065720576655e-05,0.0056597761192980645,
RLinear_NN,XLMUSDT,0.0007719644345343113,1.2946418337378418e-06,0.0011378233321011066,49.061183406930034
RLinear_OLS,XMRUSDT,4.288733795571973,27.514497444747775,5.24542633584228,
RLinear_NN,XMRUSDT,0.7579602599143982,1.2454471588134766,1.11599600315094,48.69946161118227
RLinear_OLS,XRPUSDT,0.028360117108015247,0.0028722496868352175,0.05359337353474977,
RLinear_NN,XRPUSDT,0.005796204786747694,0.0003932387917302549,0.01983024924993515,48.73650751490137
